Year,Title,Theater,Day of the Week,Date,Time,Saw with April
2017,Wonder Woman,Baxter Avenue,Tuesday,6/6/2017,1:10 PM,N
2017,The Mummy (2017),Mall St. Matthews,Monday,6/12/2017,10:10 AM,N
2017,Cars 3,Mall St. Matthews,Saturday,6/17/2017,9:45 AM,Y
2017,Baby Driver,Baxter Avenue,Thursday,6/29/2017,7:40 PM,Y
2017,Transformers: The Last Kight,Tinseltown,Sunday,7/2/2017,10:40 AM,N
2017,Despicable Me 3,Mall St. Matthews,Thursday,7/6/2017,9:45 AM,Y
2017,Spiderman: Homecoming,Baxter Avenue,Friday,7/7/2017,7:25 PM,Y
2017,The Big Sick,Baxter Avenue,Friday,7/7/2017,10:00 PM,Y
2017,War for the Planet of the Apes,Baxter Avenue,Tuesday,7/25/2017,1:00 PM,Y
2017,Atomic Blonde,Baxter Avenue,Monday,7/31/2017,1:35 PM,N
2017,The Dark Tower,Baxter Avenue,Sunday,8/6/2017,12:55 PM,Y
2017,The Hitman's Bodyguard,Baxter Avenue,Sunday,8/20/2017,1:35 PM,N
2017,Valerian,Village 8,Saturday,9/2/2017,4:05 PM,N
2017,Wind River,Baxter Avenue,Tuesday,9/5/2017,1:15 PM,Y
2017,It Pt 1,Mall St. Matthews,Wednesday,9/13/2017,12:00 PM,N
2017,Lego Ninjago,Baxter Avenue,Monday,9/25/2017,12:55 PM,N
2017,Kingsman 2,Baxter Avenue,Tuesday,10/3/2017,1:15 PM,Y
2017,Battle of the Sexes,Baxter Avenue,Sunday,10/15/2017,1:05 PM,Y
2017,Marshall,Baxter Avenue,Wednesday,10/25/2017,1:10 PM,Y
2017,Thor: Ragnarok,Baxter Avenue,Thursday,11/2/2017,7:30 PM,Y
2017,Thor: Ragnarok,Baxter Avenue,Sunday,11/5/2017,8:25 PM,Y
2017,Bad Mom's Christmas,Baxter Avenue,Sunday,11/12/2017,7:25 PM,Y
2017,Coco,Tinseltown,Thursday,11/23/2017,7:15 PM,Y
2017,Justice League,Baxter Avenue,Monday,11/27/2017,1:00 PM,N
2017,The Breadwinner,Village 8,Tuesday,12/5/2017,12:50 PM,N
2017,Star Wars Episode VIII: The Last Jedi,Baxter Avenue,Thursday,12/14/2017,7:30 PM,Y
2017,Star Wars Episode VIII: The Last Jedi,Baxter Avenue,Monday,12/18/2017,4:20 PM,Y
2017,Pitch Perfect 3,Baxter Avenue,Thursday,12/28/2017,1:00 PM,Y
2018,Darkest Hour,Baxter Avenue,Monday,1/1/2018,1:00 PM,Y
2018,The Shape of Water,Baxter Avenue,Tuesday,1/9/2018,1:25 PM,N
2018,On the Basis of Sex,Baxter Avenue,Monday,1/15/2018,7:15 PM,Y
2018,The Post,Baxter Avenue,Sunday,1/21/2018,1:10 PM,Y
2018,The Greatest Showman,Baxter Avenue,Tuesday,1/23/2018,1:10 PM,N
2018,12 Strong,Tinseltown,Saturday,2/3/2018,12:55 PM,Y
2018,Jumanji: Welcome to the Jungle,Tinseltown,Tuesday,2/6/2018,11:10 AM,N
2018,Black Panther,Baxter Avenue,Sunday,2/18/2018,4:20 PM,Y
2018,A Wrinkle in Time,Baxter Avenue,Monday,3/12/2018,1:30 PM,N
2018,Tomb Raider,Baxter Avenue,Thursday,3/29/2018,1:10 PM,N
2018,Isle of Dogs,Baxter Avenue,Monday,4/9/2018,1:15 PM,N
2018,"Ready, Player One",Baxter Avenue,Saturday,4/14/2018,1:10 PM,Y
2018,A Quiet Place,Baxter Avenue,Monday,4/23/2018,1:00 PM,N
2018,Avengers: Infinity War,Mall St. Matthews,Thursday,4/26/2018,8:30 PM,Y
2018,Avengers: Infinity War,Baxter Avenue,Monday,5/7/2018,12:45 PM,Y
2018,Avengers: Infinity War,Baxter Avenue,Tuesday,5/15/2018,12:45 PM,Y
2018,Deadpool 2,Mall St. Matthews,Monday,5/21/2018,12:00 PM,Y
2018,Solo: A Star Wars Story,Mall St. Matthews,Thursday,5/24/2018,7:00 PM,Y
2018,Black Panther,Village 8,Tuesday,5/29/2018,12:50 PM,Y
2018,Oceans 8,Baxter Avenue,Saturday,6/9/2018,1:15 PM,Y
2018,The Incredibles 2,Baxter Avenue,Wednesday,6/20/2018,7:00 PM,Y
2018,Won't You Be My Neighbor,Baxter Avenue,Tuesday,6/26/2018,4:30 PM,Y
2018,Ant-Man and the Wasp,Mall St. Matthews,Saturday,7/7/2018,10:00 AM,Y
2018,Jurassic World: Fallen Kingdom,Mall St. Matthews,Saturday,7/7/2018,12:20 PM,Y
2018,Christopher Robin,Baxter Avenue,Sunday,8/5/2018,1:25 PM,Y
2018,Mission Impossible: Fallout,Baxter Avenue,Monday,8/13/2018,12:50 PM,N
2018,Eigth Grade,Baxter Avenue,Monday,8/13/2018,4:30 PM,Y
2018,Blackkklansman,Baxter Avenue,Wednesday,9/19/2018,7:00 PM,Y
2018,The Predator,Baxter Avenue,Thursday,9/27/2018,7:10 PM,N
2018,The House with a Clock in the Walls,Baxter Avenue,Thursday,10/4/2018,4:10 PM,Y
2018,A Star is Born,Baxter Avenue,Friday,10/5/2018,1:00 PM,Y
2018,Venom,Baxter Avenue,Tuesday,10/16/2018,7:10 PM,Y
2018,First Man,Mall St. Matthews,Sunday,10/21/2018,12:20 PM,Y
2018,Bohemian Rhapsody,Baxter Avenue,Wednesday,11/7/2018,7:00 PM,Y
2018,Fantastic Beasts: The Crimes of Grindlewald,Baxter Avenue,Wednesday,11/21/2018,4:00 PM,Y
2018,Ralph Breaks the Internet,Tinseltown,Thursday,11/22/2018,7:45 PM,Y
2018,The Green Book,Baxter Avenue,Saturday,12/1/2018,1:00 PM,Y
2018,The Grinch (2018),Baxter Avenue,Saturday,12/8/2018,1:30 PM,Y
2018,Spiderman: Into the Spiderverse,Mall St. Matthews,Saturday,12/8/2018,1:20 PM,Y
2018,Vice,Baxter Avenue,Monday,12/17/2018,1:00 PM,Y
2018,Mary Poppins Returns,Baxter Avenue,Sunday,12/30/2018,1:00 PM,Y
2019,Bumblebee,Mall St. Matthews,Sunday,1/6/2019,11:10 AM,Y
2019,Aquaman,Baxter Avenue,Sunday,1/20/2019,1:00 PM,Y
2019,The Upside,Mall St. Matthews,Friday,1/25/2019,10:30 AM,Y
2019,Stan and Ollie,Baxter Avenue,Saturday,2/2/2019,1:15 PM,Y
2019,What Men What,Baxter Avenue,Sunday,2/10/2019,1:00 PM,Y
2019,Alita: Battle Angel,Baxter Avenue,Monday,2/18/2019,7:20 PM,N
2019,Lego Movie 2: The Second Part,Baxter Avenue,Wednesday,2/27/2019,7:00 PM,Y
2019,Captain Marvel,Baxter Avenue,Saturday,3/9/2019,1:20 PM,Y
2019,Captain Marvel,Tinseltown,Sunday,3/10/2019,7:35 PM,Y
2019,How to Train Your Dragon 3,Baxter Avenue,Sunday,3/17/2019,1:00 PM,Y
2019,Dumbo,Mall St. Matthews,Sunday,3/31/2019,11:30 AM,Y
2019,Shazam!,Mall St. Matthews,Sunday,4/14/2019,10:50 AM,Y
2019,Hellboy,Baxter Avenue,Monday,4/15/2019,7:05 PM,Y
2019,Captain Marvel,Baxter Avenue,Wednesday,4/24/2019,7:15 PM,Y
2019,Avengers: Endgame,Mall St. Matthews,Thursday,4/25/2019,9:50 PM,Y
2019,Avengers: Endgame,Baxter Avenue,Friday,4/26/2019,12:55 PM,Y
2019,Avengers: Endgame,Mall St. Matthews,Thursday,5/2/2019,10:00 AM,N
2019,Long Shot,Tinseltown,Saturday,5/11/2019,1:10 PM,Y
2019,Pokemon: Detective Pikachu,Baxter Avenue,Saturday,5/18/2019,4:00 PM,Y
2019,Aladdin,Baxter Avenue,Friday,5/24/2019,4:00 PM,Y
2019,Rocketman,Baxter Avenue,Sunday,6/2/2019,12:55 PM,Y
2019,Godzilla: King of the Monsters,Baxter Avenue,Thursday,6/6/2019,1:15 PM,N
2019,Toy Story 4,XScape Blankenbaker,Saturday,6/15/2019,11:00 AM,Y
2019,Late Night,Baxter Avenue,Wednesday,6/26/2019,7:30 PM,Y
2019,Yesterday,Baxter Avenue,Monday,7/1/2019,7:15 PM,Y
2019,Spiderman: Far From Home,Baxter Avenue,Wednesday,7/3/2019,7:15 PM,Y
2019,The Lion King,Baxter Avenue,Sunday,7/21/2019,7:00 PM,Y
2019,Dark Phoenix,Village 8,Sunday,7/28/2019,1:30 PM,Y
2019,Fast and Furious 9,Baxter Avenue,Sunday,8/11/2019,12:55 PM,Y
2019,Blinded by the Light,Baxter Avenue,Thursday,8/22/2019,7:15 PM,Y
2019,It: Chapter 2,Baxter Avenue,Saturday,9/14/2019,4:10 PM,Y
2019,Abominable,Baxter Avenue,Wednesday,10/2/2019,5:20 PM,Y
2019,Maleficent: Mistress of Evil,Tinseltown,Friday,10/18/2019,2:00 PM,Y
2019,Joker,Tinseltown,Friday,10/18/2019,10:45 AM,Y
2019,The Current War,Baxter Avenue,Monday,10/28/2019,10:35 AM,Y
2019,The Addams Family,Mall St. Matthews,Friday,11/8/2019,7:20 PM,N
2019,Jojo Rabbit,Baxter Avenue,Wednesday,11/13/2019,5:20 PM,Y
2019,Beatutiful Day in the Neighborhood,Baxter Avenue,Friday,11/22/2019,4:05 PM,Y
2019,Frozen 2,Tinseltown,Thursday,11/28/2019,7:30 PM,Y
2019,Star Wars Episode IX: The Rise of Skywalker,Baxter Avenue,Thursday,12/19/2019,6:00 PM,Y
2019,Star Wars Episode IX: The Rise of Skywalker,Baxter Avenue,Saturday,12/21/2019,7:25 PM,Y
2020,Knives Out,Baxter Avenue,Thursday,1/16/2020,7:00 PM,Y
2020,1917,Stonybrook,Saturday,1/18/2020,2:25 PM,Y
2020,Just Mercy,Baxter Avenue,Thursday,1/23/2020,7:00 PM,Y
2020,Dolittle,Baxter Avenue,Tuesday,1/28/2020,1:30 PM,N
2020,The Gentleman,Tinseltown,Friday,1/31/2020,7:40 PM,Y
2020,Jumanji: Next Level,Mall St. Matthews,Wednesday,2/19/2020,6:20 PM,Y
2020,Onward,Baxter Avenue,Monday,3/9/2020,7:00 PM,Y
2020,The Big Lebowski,Baxter Avenue,Monday,6/15/2020,6:20 PM,Y
2020,Dark Knight,Baxter Avenue,Thursday,6/25/2020,3:30 PM,Y
2020,Tesla,Baxter Avenue,Wednesday,9/2/2020,7:00 PM,Y
2020,The New Mutants,Baxter Avenue,Monday,9/14/2020,5:40 PM,Y
2021,Raya and the Last Dragon,Baxter Avenue,Friday,3/12/2021,1:05 PM,Y
2021,Godzilla VS Kong,Baxter Avenue,Thursday,4/15/2021,6:50 PM,N
2021,Mortal Kombat (2021),Baxter Avenue,Thursday,4/29/2021,7:00 PM,N
2021,Cruella,Baxter Avenue,Wednesday,6/2/2021,6:55 PM,Y
2021,In the Heights,Baxter Avenue,Tuesday,6/15/2021,5:30 PM,Y
2021,F9: The Fast Saga,Baxter Avenue,Monday,7/5/2021,12:55 PM,Y
2021,Black Widow,Baxter Avenue,Thursday,7/8/2021,5:30 PM,Y
2021,Space Jam: A New Legacy,Baxter Avenue,Wednesday,7/28/2021,7:00 PM,Y
2021,Jungle Cruise,Baxter Avenue,Sunday,8/1/2021,12:55 PM,Y
2021,The Green Knight,Baxter Avenue,Sunday,8/8/2021,1:10 PM,Y
2021,Free Guy,Baxter Avenue,Monday,8/16/2021,7:10 PM,Y
2021,Suicide Squad,Baxter Avenue,Thursday,8/19/2021,7:05 PM,N
2021,Venom: Let There Be Carnage,Baxter Avenue,Monday,10/11/2021,5:20 PM,Y
2021,The Addams Family 2,Baxter Avenue,Sunday,10/17/2021,12:55 PM,Y
2021,The Eternals,Baxter Avenue,Thursday,11/11/2021,5:30 PM,Y
2021,Spencer,Tinseltown,Sunday,11/21/2021,11:40 AM,Y
2021,Dune,Baxter Avenue,Tuesday,11/23/2021,5:50 PM,N
2021,Encanto,Tinseltown,Thursday,11/25/2021,7:40 PM,Y
2021,Spiderman: No Way Home,Baxter Avenue,Thursday,12/16/2021,6:40 PM,Y
2021,House of Gucci,Baxter Avenue,Wednesday,12/8/2021,7:25 PM,Y
