Year,Title,Theater,Day of the Week,Date,Time,Saw with April
2013,Identity Thief,Tinseltown,Tuesday,2/19/2013,1:00 PM,Y
2013,Oscar Nominated Short Films,Village 8,Tuesday,2/19/2013,3:20 PM,N
2013,Life of Pi,Village 8,Tuesday,3/26/2013,12:55 PM,Y
2013,The Croods,Baxter Avenue,Wednesday,3/27/2013,12:50 PM,N
2013,GI Joe: Retaliation,Baxter Avenue,Thursday,4/4/2013,12:45 PM,N
2013,Jurassic Park,Baxter Avenue,Wednesday,4/10/2013,7:25 PM,N
2013,42,Baxter Avenue,Wednesday,4/17/2013,1:20 PM,N
2013,Oblivion,Stonybrook,Wednesday,4/24/2013,10:00 AM,N
2013,Jack the Giant Killer,Village 8,Wednesday,4/24/2013,1:30 PM,N
2013,Wait Wait...Don't Tell Me Live,Tinseltown,Thursday,5/2/2013,8:00 PM,Y
2013,Pain and Gain,Baxter Avenue,Wednesday,5/8/2013,4:25 PM,N
2013,Iron Man 3,Stonybrook,Wednesday,5/8/2013,5:30 PM,Y
2013,Iron Man 3,Baxter Avenue,Monday,5/13/2013,10:20 PM,N
2013,Great Gatsby,Baxter Avenue,Tuesday,5/14/2013,7:25 PM,Y
2013,Star Trek: Into Darkness,Baxter Avenue,Sunday,5/19/2013,7:25 PM,Y
2013,Hangover Part III,Mall St. Matthews,Thursday,5/23/2013,10:45 AM,Y
2013,Fast and Furious 6,Baxter Avenue,Saturday,6/1/2013,7:30 PM,Y
2013,Now You See Me,Baxter Avenue,Saturday,6/1/2013,10:00 PM,Y
2013,Epic,Stonybrook,Tuesday,6/4/2013,6:35 PM,N
2013,Man of Steel,Baxter Avenue,Sunday,6/16/2013,7:25 PM,Y
2013,This is the End,Mall St. Matthews,Wednesday,6/19/2013,3:55 PM,N
2013,World War Z,Baxter Avenue,Thursday,6/27/2013,1:25 PM,N
2013,Monsters University,Mall St. Matthews,Thursday,6/27/2013,7:45 PM,Y
2013,The Heat,Tinseltown,Wednesday,7/3/2013,3:25 PM,Y
2013,The Lone Ranger,Mall St. Matthews,Monday,7/8/2013,12:00 PM,Y
2013,Despicable Me 2,Mall St. Matthews,Monday,7/15/2013,1:15 PM,Y
2013,Pacific Rim,Baxter Avenue,Tuesday,7/16/2013,1:10 PM,N
2013,The To Do List,Tinseltown,Monday,7/29/2013,12:20 PM,Y
2013,The Wolverine,Tinseltown,Monday,7/29/2013,3:40 PM,Y
2013,The Way Way Back,Baxter Avenue,Monday,8/5/2013,2:50 PM,N
2013,Percy Jackson: Sea of Monsters,Mall St. Matthews,Tuesday,8/13/2013,11:20 AM,N
2013,Turbo,Stonybrook,Tuesday,8/13/2013,1:40 PM,N
2013,Elysium,Baxter Avenue,Saturday,8/17/2013,7:35 PM,Y
2013,We're the Millers,Mall St. Matthews,Monday,8/19/2013,2:15 PM,Y
2013,Kick Ass 2,Baxter Avenue,Tuesday,8/27/2013,8:10 PM,N
2013,The World's End,Baxter Avenue,Friday,9/6/2013,1:40 PM,N
2013,One Direction,Tinseltown,Thursday,9/12/2013,2:00 PM,Y
2013,Prisoners,Mall St. Matthews,Tuesday,9/24/2013,11:30 AM,N
2013,Cloudy With a Chance of Meatballs 2,Baxter Avenue,Tuesday,10/1/2013,12:55 PM,N
2013,Don Jon,Baxter Avenue,Monday,10/14/2013,1:00 PM,Y
2013,Escape Plan,Tinseltown,Tuesday,10/22/2013,11:30 AM,N
2013,Captain Phillips,Baxter Avenue,Thursday,10/24/2013,7:15 PM,Y
2013,Ender's Game,Baxter Avenue,Sunday,11/3/2013,1:30 PM,Y
2013,Thor: The Dark World,Mall St. Matthews,Sunday,11/10/2013,3:30 PM,Y
2013,About Time,Baxter Avenue,Saturday,11/23/2013,4:00 PM,Y
2013,Hunder Games: Catching Fire,Tinseltown,Thursday,11/28/2013,6:35 PM,Y
2013,The Book Thief,Baxter Avenue,Monday,12/2/2013,1:00 PM,N
2013,Escape from Tomorrowland,Baxter Avenue,Saturday,12/14/2013,11:55 PM,Y
2013,Frozen,Baxter Avenue,Wednesday,12/18/2013,7:20 PM,Y
2013,Hobbit: The Desolation of Smaug,Tinseltown,Friday,12/20/2013,1:25 PM,Y
2013,Anchorman 2,Tinseltown,Friday,12/20/2013,4:40 PM,Y
2013,American Hustle,Baxter Avenue,Sunday,12/22/2013,1:00 PM,Y
2013,Saving Mr. Banks,Baxter Avenue,Monday,12/30/2013,7:30 PM,Y
2013,The Secret Life of Walter Mitty,Baxter Avenue,Tuesday,12/31/2013,1:10 PM,N
2014,The Wolf of Wall Street,Tinseltown,Tuesday,1/7/2014,12:00 PM,Y
2014,Lone Survivor,Baxter Avenue,Saturday,1/25/2014,1:30 PM,Y
2014,Frankenstein,Riverfalls 12,Monday,1/27/2014,11:30 AM,N
2014,That Awkward Moment,Mall St. Matthews,Saturday,2/8/2014,9:30 PM,Y
2014,Lego Movie,Baxter Avenue,Monday,2/10/2014,12:45 PM,N
2014,Robocop (2014),Mall St. Matthews,Wednesday,2/19/2014,11:00 AM,N
2014,The Wind Rises,Baxter Avenue,Monday,3/10/2014,1:25 PM,N
2014,300: RIse of an Empire,Baxter Avenue,Monday,3/24/2014,3:05 PM,N
2014,The Grand Budapest Hotel,Baxter Avenue,Monday,3/24/2014,12:50 PM,N
2014,Muppets Most Wanted,Baxter Avenue,Sunday,3/30/2014,1:20 PM,Y
2014,Peabody and Sherman,Baxter Avenue,Monday,3/31/2014,1:00 PM,N
2014,Captain America: The Winter Soldier,Tinseltown,Sunday,4/6/2014,1:20 PM,Y
2014,Draft Day,Mall St. Matthews,Saturday,4/12/2014,11:15 AM,Y
2014,Rio 2,Baxter Avenue,Monday,4/14/2014,12:45 PM,N
2014,Ernest and Celestine,Baxter Avenue,Monday,4/21/2014,1:15 PM,N
2014,Bears,Mall St. Matthews,Sunday,4/27/2014,11:15 AM,Y
2014,Amazing Spiderman 2,Baxter Avenue,Thursday,5/1/2014,7:00 PM,Y
2014,Neighbors,Baxter Avenue,Monday,5/12/2014,7:40 PM,Y
2014,Million Dollar Arm,Tinseltown,Sunday,5/18/2014,1:05 PM,Y
2014,X-Men: Days of Future Past,Baxter Avenue,Thursday,5/22/2014,10:10 PM,Y
2014,The Land Before Time,KSC,Friday,5/30/2014,7:15 PM,Y
2014,Chef,Baxter Avenue,Sunday,6/1/2014,4:10 PM,Y
2014,Godzilla (2014),Baxter Avenue,Monday,6/2/2014,1:25 PM,N
2014,Malefecint,Mall St. Matthews,Sunday,6/8/2014,10:45 AM,Y
2014,22 Jumpt St,Baxter Avenue,Thursday,6/26/2014,7:35 PM,Y
2014,How to Train Your Dragon 2,Baxter Avenue,Monday,6/30/2014,5:20 PM,N
2014,Transformers: Age of Extinction,Mall St. Matthews,Saturday,7/5/2014,6:30 PM,Y
2014,Obvious Child,Baxter Avenue,Sunday,7/6/2014,1:20 PM,Y
2014,Raiders of the Lost Ark,KSC,Saturday,7/12/2014,1:45 PM,Y
2014,Dawn of the Planet of the Apes,Mall St. Matthews,Sunday,7/13/2014,12:30 PM,N
2014,Edge of Tomorrow,Tinseltown,Monday,7/14/2014,11:05 AM,N
2014,Monty Python Live,Tinseltown,Sunday,7/20/2014,2:30 PM,Y
2014,Begin Again,Baxter Avenue,Saturday,7/26/2014,7:40 PM,Y
2014,Hercules,Mall St. Matthews,Thursday,7/31/2014,11:10 AM,N
2014,Lucy,Baxter Avenue,Thursday,7/31/2014,1:25 PM,N
2014,Guardians of The Galaxy,Baxter Avenue,Saturday,8/2/2014,7:25 PM,Y
2014,Guardians of The Galaxy,Stonybrook,Tuesday,8/5/2014,12:00 PM,N
2014,Guardians of The Galaxy,Mall St. Matthews,Thursday,8/7/2014,11:10 AM,N
2014,Teenage Mutant Ninja Turtles (2014),Mall St. Matthews,Wednesday,8/13/2014,12:00 AM,Y
2014,The Giver,Tinseltown,Tuesday,8/19/2014,12:35 PM,N
2014,The Expendables 3,Tinseltown,Tuesday,8/19/2014,2:30 PM,N
2014,Let's Be Cops,Mall St. Matthews,Sunday,8/24/2014,11:35 AM,Y
2014,Guardians of The Galaxy,Mall St. Matthews,Sunday,8/24/2014,2:45 PM,Y
2014,Sin City 2,Baxter Avenue,Tuesday,9/2/2014,12:45 PM,N
2014,100 Ft Journey,Baxter Avenue,Monday,9/8/2014,1:25 PM,N
2014,Boyhood,Baxter Avenue,Wednesday,9/17/2014,1:05 PM,N
2014,The Maze Runner,Baxter Avenue,Thursday,9/25/2014,1:30 PM,N
2014,Boxtrolls,Baxter Avenue,Monday,10/6/2014,2:55 PM,N
2014,Gone Girl,Tinseltown,Friday,10/17/2014,1:10 PM,Y
2014,The Judge,Baxter Avenue,Saturday,10/18/2014,1:20 PM,Y
2014,The Book of Life,Baxter Avenue,Monday,10/20/2014,1:10 PM,N
2014,Guardians of The Galaxy,Village 8,Saturday,11/1/2014,1:25 PM,Y
2014,Birdman,Baxter Avenue,Tuesday,11/4/2014,1:10 PM,N
2014,Laggies,Baxter Avenue,Monday,11/10/2014,7:40 PM,N
2014,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Mall St. Matthews,Tuesday,11/11/2014,11:35 AM,N
2014,St. Vincent,Baxter Avenue,Tuesday,11/11/2014,5:25 PM,N
2014,Big Hero 6,Baxter Avenue,Tuesday,11/11/2014,7:50 PM,Y
2014,Interstellar,Mall St. Matthews,Monday,11/17/2014,2:40 PM,N
2014,Big Hero 6,Baxter Avenue,Tuesday,11/25/2014,12:50 PM,Y
2014,Hunger Games: Mockingjay,Tinseltown,Thursday,11/27/2014,8:25 PM,Y
2014,The Theory of Everything,Baxter Avenue,Saturday,11/29/2014,7:00 PM,Y
2014,Penguins of Madagascar,Baxter Avenue,Monday,12/1/2014,3:15 PM,N
2014,Annie (2014),Mall St. Matthews,Friday,12/19/2014,10:45 AM,Y
2014,Hobbit: The Battle of Five Armies,Baxter Avenue,Monday,12/22/2014,2:00 PM,N
2015,The Imitation Game,Tinseltown,Saturday,1/3/2015,11:05 AM,Y
2015,Into the Woods,Baxter Avenue,Monday,1/12/2015,1:10 PM,N
2015,Taken 3,Baxter Avenue,Tuesday,1/13/2015,12:45 PM,N
2015,Selma,Baxter Avenue,Wednesday,1/21/2015,7:30 PM,Y
2015,Mortedcai,Mall St. Matthews,Tuesday,1/27/2015,11:35 AM,N
2015,American Sniper,Baxter Avenue,Saturday,1/31/2015,1:25 PM,Y
2015,Seventh Son,Baxter Avenue,Tuesday,2/10/2015,12:50 PM,N
2015,Jupiter Ascending,Baxter Avenue,Tuesday,2/10/2015,4:20 PM,N
2015,Kingsman: The Secret Service,Mall St. Matthews,Tuesday,2/17/2015,11:15 AM,N
2015,2nd Best Exotic Marigold Hotel,Baxter Avenue,Monday,3/9/2015,1:15 PM,N
2015,Chappie,Baxter Avenue,Tuesday,3/10/2015,7:40 PM,Y
2015,71,Baxter Avenue,Tuesday,3/24/2015,12:50 PM,N
2015,Home,Mall St. Matthews,Saturday,3/28/2015,11:05 AM,Y
2015,Cinderella (2015),Baxter Avenue,Tuesday,3/31/2015,1:30 PM,N
2015,Furious 7,Baxter Avenue,Thursday,4/2/2015,7:30 PM,Y
2015,Furious 7,Baxter Avenue,Saturday,4/11/2015,4:25 PM,Y
2015,Child 44,Baxter Avenue,Monday,4/20/2015,1:30 PM,N
